world,query_group,query,title,year,authors,doi,url,pdf_url,has_extracted_text,google_scholar_title_url,google_scholar_query_url,manual_pdf_url,manual_status,notes
auction_house,learning_terms,RegretNet auction design incentive compatibility regret,Optimal-er Auctions through Attention,2022,Dmitry Ivanov; Iskander Safiulin; Igor Filippov; Ksenia Balabaeva,10.48550/arxiv.2202.13110,http://arxiv.org/abs/2202.13110,https://arxiv.org/pdf/2202.13110,True,https://scholar.google.com/scholar?q=Optimal-er+Auctions+through+Attention,https://scholar.google.com/scholar?q=RegretNet+auction+design+incentive+compatibility+regret,,,
auction_house,learning_terms,RegretNet auction design incentive compatibility regret,A Scalable Neural Network for DSIC Affine Maximizer Auction Design,2023,Zhijian Duan; Haoran Sun; Yurong Chen; Xiaotie Deng,10.48550/arxiv.2305.12162,http://arxiv.org/abs/2305.12162,https://arxiv.org/pdf/2305.12162,True,https://scholar.google.com/scholar?q=A+Scalable+Neural+Network+for+DSIC+Affine+Maximizer+Auction+Design,https://scholar.google.com/scholar?q=RegretNet+auction+design+incentive+compatibility+regret,,,
auction_house,learning_terms,RegretNet auction design incentive compatibility regret,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,2023,Paul Dütting; Zhe Feng; Harikrishna Narasimhan; David C. Parkes; Sai Srivatsa Ravindranath,10.1145/3630749,https://doi.org/10.1145/3630749,https://dl.acm.org/doi/pdf/10.1145/3630749,True,https://scholar.google.com/scholar?q=Optimal+Auctions+through+Deep+Learning%3A+Advances+in+Differentiable+Economics,https://scholar.google.com/scholar?q=RegretNet+auction+design+incentive+compatibility+regret,,,
auction_house,classical_terms,Vickrey second price auction truthful bidding,Iterative Combinatorial Auctions: Theory and Practice,2000,David C. Parkes; Lyle Ungar,,http://nrs.harvard.edu/urn-3:HUL.InstRepos:4101023,http://nrs.harvard.edu/urn-3:HUL.InstRepos:4101023,False,https://scholar.google.com/scholar?q=Iterative+Combinatorial+Auctions%3A+Theory+and+Practice,https://scholar.google.com/scholar?q=Vickrey+second+price+auction+truthful+bidding,,,
auction_house,classical_terms,Myerson optimal auction reserve price revenue,Optimal Auctions with Ambiguity,2006,Subir Bose; Emre Ozdenoren; Andreas Pape,,http://hdl.handle.net/10419/150086,http://hdl.handle.net/10419/150086,False,https://scholar.google.com/scholar?q=Optimal+Auctions+with+Ambiguity,https://scholar.google.com/scholar?q=Myerson+optimal+auction+reserve+price+revenue,,,
auction_house,classical_terms,Auctions and Bidding Vickrey 1961,Why Are Vickrey Auctions Rare?,1990,Michael H. Rothkopf; Thomas J. Teisberg; Edward Kahn,10.1086/261670,https://doi.org/10.1086/261670,,False,https://scholar.google.com/scholar?q=Why+Are+Vickrey+Auctions+Rare%3F,https://scholar.google.com/scholar?q=Auctions+and+Bidding+Vickrey+1961,,,
auction_house,classical_terms,Auctions and Bidding Vickrey 1961,Why Customers Value Self‐Designed Products: The Importance of Process Effort and Enjoyment<sup>*</sup>,2010,Nikolaus Franke; Martin Schreier,10.1111/j.1540-5885.2010.00768.x,https://doi.org/10.1111/j.1540-5885.2010.00768.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1540-5885.2010.00768.x,False,https://scholar.google.com/scholar?q=Why+Customers+Value+Self%E2%80%90Designed+Products%3A+The+Importance+of+Process+Effort+and+Enjoyment%3Csup%3E%2A%3C%2Fsup%3E,https://scholar.google.com/scholar?q=Auctions+and+Bidding+Vickrey+1961,,,
auction_house,learning_terms,RegretNet auction design incentive compatibility regret,Optimal Economic Design Through Deep Learning (Short Paper),2017,Paul Dütting; Feng Zheng; Harikrishna Narasimhan; David C. Parkes,,http://nrs.harvard.edu/urn-3:HUL.InstRepos:41718766,http://nrs.harvard.edu/urn-3:HUL.InstRepos:41718766,False,https://scholar.google.com/scholar?q=Optimal+Economic+Design+Through+Deep+Learning+%28Short+Paper%29,https://scholar.google.com/scholar?q=RegretNet+auction+design+incentive+compatibility+regret,,,
auction_house,classical_terms,first price auction bid shading equilibrium,Position Auctions with Consumer Search,2011,Susan Athey; Glenn Ellison,10.1093/qje/qjr028,https://doi.org/10.1093/qje/qjr028,https://academic.oup.com/qje/article-pdf/126/3/1213/5246144/qjr028.pdf,False,https://scholar.google.com/scholar?q=Position+Auctions+with+Consumer+Search,https://scholar.google.com/scholar?q=first+price+auction+bid+shading+equilibrium,,,
auction_house,classical_terms,Myerson optimal auction reserve price revenue,Auctioning Conservation Contracts: A Theoretical Analysis and an Application,1997,Uwe Latacz‐Lohmann; Carel Van der Hamsvoort,10.2307/1244139,https://doi.org/10.2307/1244139,https://onlinelibrary.wiley.com/doi/pdfdirect/10.2307/1244139,False,https://scholar.google.com/scholar?q=Auctioning+Conservation+Contracts%3A+A+Theoretical+Analysis+and+an+Application,https://scholar.google.com/scholar?q=Myerson+optimal+auction+reserve+price+revenue,,,
auction_house,classical_terms,first price auction bid shading equilibrium,"Flash Boys 2.0: Frontrunning in Decentralized Exchanges, Miner Extractable Value, and Consensus Instability",2020,Philip Daian; Steven Goldfeder; Tyler Kell; Yunqi Li; Xueyuan Zhao; Iddo Bentov; Lorenz Breidenbach; Ari Juels,10.1109/sp40000.2020.00040,https://doi.org/10.1109/sp40000.2020.00040,https://ieeexplore.ieee.org/ielx7/9144328/9152199/09152675.pdf,True,https://scholar.google.com/scholar?q=Flash+Boys+2.0%3A+Frontrunning+in+Decentralized+Exchanges%2C+Miner+Extractable+Value%2C+and+Consensus+Instability,https://scholar.google.com/scholar?q=first+price+auction+bid+shading+equilibrium,,,
