world,query_group,query_count,api_records,pdf_url_records,extracted_text_records,filled_cards,todo_cards,top_titles,status
auction_house,all,8,55,52,17,33,22,Optimal-er Auctions through Attention | A Scalable Neural Network for DSIC Affine Maximizer Auction Design | Optimal Auctions through Deep Learning: Advances in Differentiable Economics | Iterative Combinatorial Auctions: Theory and Practice | Optimal Auctions with Ambiguity,covered_review_needed
auction_house,classical_terms,5,41,38,10,33,22,Iterative Combinatorial Auctions: Theory and Practice | Optimal Auctions with Ambiguity | Why Are Vickrey Auctions Rare? | Why Customers Value Self‐Designed Products: The Importance of Process Effort and Enjoyment<sup>*</sup> | Position Auctions with Consumer Search,covered_review_needed
auction_house,learning_terms,3,14,14,7,33,22,Optimal-er Auctions through Attention | A Scalable Neural Network for DSIC Affine Maximizer Auction Design | Optimal Auctions through Deep Learning: Advances in Differentiable Economics | Optimal Economic Design Through Deep Learning (Short Paper) | Optimal auctions through deep learning,covered_review_needed
labor_market,all,8,49,43,13,13,37,"Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence | Changing the Boston School Choice Mechanism | Matching with Couples: Stability and Incentives in Large Markets* | A Theory of Stability in Many-to-many Matching Markets | Deferred Acceptance Algorithms: History, Theory, Practice, and Open Questions",covered_review_needed
labor_market,classical_terms,5,34,31,8,13,37,"Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence | Changing the Boston School Choice Mechanism | Matching with Couples: Stability and Incentives in Large Markets* | A Theory of Stability in Many-to-many Matching Markets | Deferred Acceptance Algorithms: History, Theory, Practice, and Open Questions",covered_review_needed
labor_market,learning_terms,3,15,12,5,13,37,"Artificial Intelligence in Education: A Review | Quantum machine learning | Toward the future of psychiatric diagnosis: the seven pillars of RDoC | A review on genetic algorithm: past, present, and future | Antibiotic resistance threats in the United States, 2019",covered_review_needed
pricing_arena,all,7,96,59,7,6,90,"Algorithmic Pricing and Algorithmic Collusion | Exploring Competitive and Collusive Behaviors in Algorithmic Pricing with Deep Reinforcement Learning | Online Optimization Algorithms in Repeated Price Competition: Equilibrium Learning and Algorithmic Collusion | Algorithmic Collusion in Dynamic Pricing with Deep Reinforcement Learning | Artificial Intelligence, Algorithmic Pricing, and Collusion",covered_review_needed
pricing_arena,classical_terms,4,68,37,6,6,90,"Algorithmic Pricing and Algorithmic Collusion | Exploring Competitive and Collusive Behaviors in Algorithmic Pricing with Deep Reinforcement Learning | Online Optimization Algorithms in Repeated Price Competition: Equilibrium Learning and Algorithmic Collusion | Algorithmic Collusion in Dynamic Pricing with Deep Reinforcement Learning | Artificial Intelligence, Algorithmic Pricing, and Collusion",covered_review_needed
pricing_arena,learning_terms,3,28,22,1,6,90,"The Price of Algorithmic Pricing: Investigating Collusion in a Market Simulation with AI Agents | Dynamic pricing under competition using reinforcement learning | By Fair Means or Foul: Quantifying Collusion in a Market Simulation with Deep Reinforcement Learning | Relational Multi-Agent Reinforcement Learning for Dynamic Pricing in High-Speed Railway Markets | Learning Collusion in Episodic, Inventory-Constrained Markets",covered_review_needed
public_goods,all,8,56,48,13,13,40,The evolution of antisocial punishment in optional public goods games | When and Why Incentives (Don't) Work to Modify Behavior | THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS | Why Does Ethnic Diversity Undermine Public Goods Provision? | “Economic man” in cross-cultural perspective: Behavioral experiments in 15 small-scale societies,covered_review_needed
public_goods,classical_terms,5,34,29,9,13,40,The evolution of antisocial punishment in optional public goods games | THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS | Why Does Ethnic Diversity Undermine Public Goods Provision? | “Economic man” in cross-cultural perspective: Behavioral experiments in 15 small-scale societies | Self-governance and forest resources,covered_review_needed
public_goods,learning_terms,3,22,19,4,13,40,"When and Why Incentives (Don't) Work to Modify Behavior | Bounds on Multiprocessing Timing Anomalies | Cooperation and Contagion in Web-Based, Networked Public Goods Experiments | A Survey on Knowledge Graphs: Representation, Acquisition, and Applications | Disgust as an adaptive system for disease avoidance behaviour",covered_review_needed
resource_island,all,8,70,60,14,13,28,A Review of Design Principles for Community-based Natural Resource Management | Multi-Agent Reinforcement Learning: A Review of Challenges and Applications | Edge AI: A survey | Bargaining and Distribution in Marriage | Multi-agent deep reinforcement learning: a survey,covered_review_needed
resource_island,classical_terms,5,47,40,9,13,28,A Review of Design Principles for Community-based Natural Resource Management | Multi-Agent Reinforcement Learning: A Review of Challenges and Applications | Edge AI: A survey | Bargaining and Distribution in Marriage | Multi-agent deep reinforcement learning: a survey,covered_review_needed
resource_island,learning_terms,3,23,20,5,13,28,"Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT | A comprehensive survey on machine learning for networking: evolution, applications and research opportunities | Regularized Evolution for Image Classifier Architecture Search | An Introduction to Deep Reinforcement Learning | A Survey of Convolutional Neural Networks: Analysis, Applications, and Prospects",covered_review_needed
