world,priority,role,title,authors,year,institution,mind,why_it_matters,theory_obligation,code_result_check,cache_status,match_score,matched_title,matched_authors,matched_year,matched_doi,url,pdf_url,has_extracted_text,text_path,manual_action,google_scholar_url
cross_world_methods,must_read,tabular_rl,Q-learning,Christopher J. C. H. Watkins; Peter Dayan,1992,all,q_learning,Canonical tabular temporal-difference control reference.,Report the state/action encoding and update target clearly enough that Q-learning behavior is interpretable.,minds/q_learning.py; cross-world Q-learning smoke and full runs.,not_found_in_cache,0.588,,,,10.1007/BF00992698,,,True,literature/text/manual/cross_world_methods__1992__q_learning.txt,ready_for_llm,https://scholar.google.com/scholar?q=Q-learning
cross_world_methods,must_read,deep_rl,Human-level control through deep reinforcement learning,Volodymyr Mnih et al.,2015,all,dqn,"Canonical DQN paper: replay, target network, TD loss, and benchmark discipline.","Verify that DQN is a real structured-observation learner with replay and target networks, not a renamed tabular baseline.",minds/deep_rl/torch_dqn_mind.py; Phase 3 and Resource Island DQN tests.,not_found_in_cache,0.752,,,,10.1038/nature14236,,,True,literature/text/manual/cross_world_methods__2015__human_level_control_through_deep_reinforcement_learning.txt,ready_for_llm,https://scholar.google.com/scholar?q=Human-level+control+through+deep+reinforcement+learning
cross_world_methods,must_read,policy_gradient,Proximal Policy Optimization Algorithms,John Schulman; Filip Wolski; Prafulla Dhariwal; Alec Radford; Oleg Klimov,2017,all,ppo,Canonical PPO reference for clipped policy-gradient learning.,Report PPO as an on-policy actor-critic learner and compare it separately from value-based DQN.,minds/deep_rl/torch_ppo_mind.py; Phase 3 PPO tests and full outputs.,not_found_in_cache,0.500,,,,10.48550/arXiv.1707.06347,,,True,literature/text/manual/cross_world_methods__2017__proximal_policy_optimization_algorithms.txt,ready_for_llm,https://scholar.google.com/scholar?q=Proximal+Policy+Optimization+Algorithms
cross_world_methods,must_read,independent_marl,Multi-Agent Reinforcement Learning: Independent versus Cooperative Agents,Ming Tan,1993,all,independent_dqn,Canonical independent-learner baseline for MARL.,"Ensure independent learners have separate policies, replay/exploration streams, and no accidental aliasing.",minds/marl/independent_learners.py; decorrelation tests; fixed independent-DQN full outputs.,not_found_in_cache,0.633,,,,,,,True,literature/text/manual/cross_world_methods__1993__multi_agent_reinforcement_learning_independent_versus_cooperative_agents.txt,ready_for_llm,https://scholar.google.com/scholar?q=Multi-Agent+Reinforcement+Learning%3A+Independent+versus+Cooperative+Agents
cross_world_methods,must_read,centralized_critic,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,Ryan Lowe; Yi Wu; Aviv Tamar; Jean Harb; Pieter Abbeel; Igor Mordatch,2017,all,centralized_critic,Canonical centralized-training/decentralized-execution MARL anchor.,"Separate centralized critic evidence from independent learning evidence, especially in asymmetric worlds.",minds/marl/centralized_critic.py; cross-world P.6 smoke/full outputs.,not_found_in_cache,0.465,,,,,,,True,literature/text/manual/cross_world_methods__2017__multi_agent_actor_critic_for_mixed_cooperative_competitive_environments.txt,ready_for_llm,https://scholar.google.com/scholar?q=Multi-Agent+Actor-Critic+for+Mixed+Cooperative-Competitive+Environments
pricing_arena,must_read,classical_io,The Theory of Industrial Organization,Jean Tirole,1988,none,all,Classical industrial-organization reference for Bertrand pricing and collusion benchmarks.,Use static Nash/Bertrand and joint-profit references when interpreting learned prices.,worlds/pricing_arena/benchmarks.py; pricing summary benchmark columns.,found_exact_or_close,1.000,The Theory of Industrial Organization,Jean Tirole,1988,,https://ideas.repec.org/b/mtp/titles/0262200716.html,,True,literature/text/manual/pricing_arena__1988__the_theory_of_industrial_organization.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Theory+of+Industrial+Organization
pricing_arena,must_read,algorithmic_collusion,"Artificial Intelligence, Algorithmic Pricing, and Collusion",Emilio Calvano; Giacomo Calzolari; Vincenzo Denicolo; Sergio Pastorello,2020,none,q_learning,Main algorithmic-pricing-collusion benchmark for Q-learning firms.,"Report profit-normalized collusion, not only a price proxy.",outputs/phase3_full/mind_comparison.csv includes profit_collusion_index_mean.,found_exact_or_close,1.000,"Artificial Intelligence, Algorithmic Pricing, and Collusion",Emilio Calvano; Giacomo Calzolari; Vincenzo Denicolò; Sergio Pastorello,2020,10.1257/aer.20190623,https://doi.org/10.1257/aer.20190623,https://art.torvergata.it/bitstream/2108/303883/1/aer.20190623.pdf,True,literature/text/2020_artificial_intelligence_algorithmic_pricing_and_collusion.txt,ready_for_llm,https://scholar.google.com/scholar?q=Artificial+Intelligence%2C+Algorithmic+Pricing%2C+and+Collusion
pricing_arena,must_read,monitoring,Algorithmic collusion with imperfect monitoring,Emilio Calvano; Giacomo Calzolari; Vincenzo Denicolo; Sergio Pastorello,2021,demand_shock,q_learning,Connects collusion to noisy monitoring and price-war punishment dynamics.,"Treat demand shocks and monitoring as institution/environment changes, not just random noise.",demand_shock mechanism; exploitability and collusion comparison under shocks.,not_found_in_cache,0.647,,,,10.1016/j.ijindorg.2021.102712,,,True,literature/text/manual/pricing_arena__2021__algorithmic_collusion_with_imperfect_monitoring.txt,ready_for_llm,https://scholar.google.com/scholar?q=Algorithmic+collusion+with+imperfect+monitoring
pricing_arena,core,algorithm_design,"Artificial Intelligence, Algorithm Design, and Pricing",John Asker; Chaim Fershtman; Ariel Pakes,2022,none,"q_learning,dqn",Shows that learning-protocol details can move pricing outcomes from competitive to monopoly-like.,"Interpret capability differences as algorithm-design effects, not only hyperparameter noise.","Phase 3 ladder: Q-learning, DQN, PPO, independent-DQN, centralized critic.",found_exact_or_close,0.990,"ALGORITHMIC PRICING ‡ Artificial Intelligence , Algorithm Design, and Pricing †",John Asker; C. Fershtman; A. Pakes; Emilio Calvano; Lorenzo Cattivelli; Masha Melkonyan; †. KylieToh; Go,2022,,https://www.semanticscholar.org/paper/21d948a895240c834f310e533823ec32f280a294,,True,literature/text/manual/pricing_arena__2022__artificial_intelligence_algorithm_design_and_pricing.txt,ready_for_llm,https://scholar.google.com/scholar?q=Artificial+Intelligence%2C+Algorithm+Design%2C+and+Pricing
pricing_arena,core,sequential_pricing,Autonomous algorithmic collusion: Q-learning under sequential pricing,Timo Klein,2021,none,q_learning,Shows algorithmic collusion can arise under sequential pricing protocols.,Be explicit about simultaneous versus sequential timing in our environment.,Pricing Arena design and step semantics.,found_exact_or_close,1.000,Autonomous algorithmic collusion: Q‐learning under sequential pricing,Timo Klein,2021,10.1111/1756-2171.12383,https://www.semanticscholar.org/paper/05f77c3969803d3aaadc70a43bcdb2875259d2cf,https://doi.org/10.1111/1756-2171.12383,True,literature/text/manual/pricing_arena__2021__autonomous_algorithmic_collusion_q_learning_under_sequential_pricing.txt,ready_for_llm,https://scholar.google.com/scholar?q=Autonomous+algorithmic+collusion%3A+Q-learning+under+sequential+pricing
