world,gate,status,decision,theory_anchor,theory_obligation,metric_obligation,code_evidence,output_evidence,missing_evidence,needed_fix,rerun_required,outputs_made_obsolete,claim_boundary
pricing_arena,pricing_benchmarks_and_collusion_metrics,pass,write_current_result,Tirole/IO theory; Calvano et al.; algorithmic pricing RL papers,"Static Nash and joint-profit references must anchor learned pricing, and collusion must be measured on both price and profit scales.","Nash/joint-profit benchmark, price-normalized collusion, profit-normalized collusion, welfare, quantity/profit, exploitability.",worlds/pricing_arena/benchmarks.py; core/metrics.py; build_combined_table.py,outputs/full_v0_multiseed/summary_aggregate.csv; outputs/phase3_full/mind_comparison.csv,none,No code rerun. Write the metric split and price-cap quantity/profit channel as the result.,no,none,Does not prove universal collusion convergence or real-world antitrust harm.
pricing_arena,pricing_full_capability_ladder,pass,write_current_result,"DQN, PPO, independent-learning MARL, and centralized-critic method papers","The mind ladder must be made of distinct implemented learners, not duplicate labels.",Every mind row needs n=20 multiseed and exploitability evidence under the same pricing protocol.,minds/deep_rl/torch_dqn_mind.py; minds/deep_rl/torch_ppo_mind.py; minds/marl/independent_learners.py; minds/marl/centralized_critic.py,outputs/phase3_full/mind_comparison.csv; outputs/phase3_full/validation_report.json,none,No rerun unless the mind implementation changes again.,no,none,"Capability findings are empirical for this protocol, not formal ordering guarantees."
resource_island,resource_v1_activation_pressure,pass,write_current_result,Hardin/Ostrom/common-pool governance; sequential social-dilemma MARL,"Property, trade-price-control, and reputation claims are valid only if the institution has measured opportunities to bind.","Trade attempts/successes, institution blocks, property opportunities, property violations, survival, welfare, sustainability, specialization, inequality.",worlds/resource_island/env.py; worlds/resource_island/training.py; run_resource_island_smoke.py,outputs/resource_island_v1_full/summary_aggregate.csv,none,No tabular v1 rerun. Use v1 outputs for Resource Island institution claims.,no,none,"Still a simplified matching-market trade protocol, not a full field model of common-pool governance."
resource_island,resource_v1_neural_ladder_apples_to_apples,pass,ready_after_requested_rerun,Sequential social-dilemma MARL; DQN/PPO/independent-DQN/centralized-critic obligations,Capability claims must compare minds on the same v1 activation-pressure protocol. Do not compare v1 Q-learning against older random-layout neural runs.,"Same v1 scenarios, steps, seeds, activation preset, trade units, and source directories for every mind.",worlds/resource_island/training.py; worlds/resource_island/features.py; build_resource_island_mind_comparison.py,outputs/resource_island_v1_dqn_full/summary_aggregate.csv; outputs/resource_island_v1_ppo_full/summary_aggregate.csv; outputs/resource_island_v1_independent_dqn_full/summary_aggregate.csv; outputs/resource_island_v1_centralized_critic_full/summary_aggregate.csv; outputs/resource_island_v1_phase3_full/mind_comparison.csv,none,"Finish or pull the active v1 neural/MARL reruns, rebuild the Resource Island mind-comparison table, then rebuild cross-world synthesis and publication-inference outputs.",yes_active_or_pull,Resource Island cross-mind rows in outputs/resource_island_phase3_full/mind_comparison.csv and any cross-world synthesis using those mismatched rows.,"Until this passes, Resource Island v1 institution claims are usable for Q-learning, but Resource Island capability-ladder claims are not final."
resource_island,resource_strict_local_trade_ablation,pass,optional_ablation_before_stronger_claim,Spatial common-pool and market-friction theory,"If the paper claims Resource Island is a spatial trade economy, it must separate strict-local trade from whole-island matching.","Whole-island versus trade_radius=1 outcomes for trade, welfare, survival, and institution activation.",worlds/resource_island/env.py; run_resource_island_smoke.py,outputs/resource_island_v1_strict_radius_full/summary_aggregate.csv,none,Run this only before making strong spatial-friction claims; not required for current v1 institution activation result.,optional_before_spatial_claim,"none; this is an ablation, not a replacement.","Without it, call v1 trade a whole-island matching market layered over spatial gathering."
auction_house,auction_benchmarks_metrics_and_ladder,pass,write_current_result,Vickrey; Myerson; RegretNet/deep auction-design papers; repeated-auction learning,"Auction results must be evaluated against truthful second-price, first-price shading, reserve/no-sale, and regret/incentive-compatibility proxies.","Revenue, bidder surplus, welfare, allocative efficiency, ex-post regret, bid curves, over/underbidding.",worlds/auction_house/benchmarks.py; worlds/auction_house/env.py; worlds/auction_house/training.py; build_world_mind_comparison.py,outputs/auction_house_full/summary_aggregate.csv; outputs/auction_house_full/bid_curves.csv; outputs/auction_house_phase3_full/mind_comparison.csv,none,"No structural code rerun. Interpret low second-price efficiency/regret as learned-bidder behavior, not failed auction theory.",no,none,The repo tests fixed auction mechanisms; it does not learn new RegretNet/Myerson mechanisms.
public_goods,public_goods_state_vs_accounting,pass,write_current_result,"Samuelson/Olson/Hardin; public-goods punishment, rewards, reputation, and observability literature","Commons institutions must be judged by contribution/extraction/sustainability, not reward accounting alone.","Free-rider/social brackets, contribution, extraction, sustainability, collapse, welfare, inequality, tax revenue.",worlds/public_goods/benchmarks.py; worlds/public_goods/env.py; validate_public_goods_effects.py; build_world_mind_comparison.py,outputs/public_goods_full/summary_aggregate.csv; outputs/public_goods_full/institution_effect_validation.json; outputs/public_goods_phase3_full/mind_comparison.csv,none,No rerun unless changing institution definitions. Write state-changing versus accounting-only distinction explicitly.,no,none,Reward gains from reputation/taxes are not automatically sustainability gains.
labor_market,labor_market_da_stability_and_side_specific_incentives,pass,write_current_result,Gale-Shapley; Roth; DA mechanism-design literature; matching-market RL,Deferred-acceptance claims must report stability/blocking pairs and respect proposing-side strategy-proofness.,"Match rate, stability, blocking pairs, welfare, truthful-report rate, manipulation-gain diagnostics.",worlds/labor_market/benchmarks.py; worlds/labor_market/env.py; run_labor_market_benchmark_cases.py; build_world_mind_comparison.py,outputs/labor_market_full/summary_aggregate.csv; outputs/labor_market_benchmark_cases.json; outputs/labor_market_phase3_full/mind_comparison.csv,none,No rerun. Write worker-proposing DA caveat; future manipulation tests should target non-proposing side or another mechanism.,no,none,Non-truthful reports are not automatically profitable manipulation under worker-proposing DA.
central_planner_tax,tax_schedule_as_institution_not_world,pass,write_current_result,Public finance / redistribution as a mechanism layer,The central planner is currently a parameterized tax institution; do not present it as an agent/world without a planner state/action model.,"Tax revenue, welfare, inequality, sustainability/survival under rate sweeps.",institutions/tax_schedule.py; run_tax_schedule_sweep.py,outputs/tax_schedule_sweep/summary_aggregate.csv,none,No rerun for current claim. Add a real planner state/action model only if making central-planner-agent claims.,no,none,"This is a tax sweep, not a central planner world."
cross_world,cross_world_protocol_comparability,pass,ready_after_requested_rerun,Capability-ladder synthesis obligation,Cross-world capability claims require comparable protocols inside each world and must exclude mismatched rows.,"Protocol comparability report, monotonicity report, synthesis table, publication-inference exclusions.",build_cross_world_synthesis.py; build_publication_inference.py,outputs/cross_world_synthesis/synthesis_table.csv; outputs/cross_world_synthesis/protocol_comparability_report.json; outputs/publication_inference/publication_inference_summary.md,none,Rebuild this after Resource Island v1 neural/MARL outputs land; current synthesis correctly blocks Resource Island cross-mind claims.,yes_after_resource_island_v1_ladder,outputs/cross_world_synthesis/* and outputs/publication_inference/* once Resource Island v1 ladder is rebuilt.,Current five-world synthesis is valid only with Resource Island cross-mind exclusions.
