claim_id,section,sentence,claim_type,support_type,existing_citations,missing_bib_keys,suggested_citations,artifact_support,status,fix
C0001,Abstract,This paper introduces a code-first experimental platform for studying whether economic mechanisms remain robust when the strategic agents inside them are adaptive learners rather than equilibrium solvers.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0002,Abstract,"The platform implements a shared World/Agent/Institution interface, repeated multiseed evaluation, exploitability tests, and interchangeable mind classes ranging from random and tabular Q-learning agents to PyTorch DQN, PPO, decorrelated independent-DQN, and centralized-critic agents.",method+result,none,none,none,"sutton2018, mnih2015, schulman2017, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0003,Abstract,The first validated environment is a repeated two-firm pricing arena with six regulatory mechanisms.,result,artifact,none,none,none,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0004,Abstract,"In this world, price caps robustly reduce exploitability across mind classes, but their effect on collusion is metric- and architecture-dependent.",theory+result,none,none,none,"calvano2020, calvano2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0005,Abstract,"A new paired-seed audit shows that DQN's positive profit-under-cap result is not visible in 1000-step traces; it emerges with training budget, becomes mostly positive by 10,000 steps, and is positive in the 40,000-step full table.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0006,Abstract,"The second environment, Resource Island, extends the same interface to a spatial inventory economy and reveals a different lesson: institution conclusions are only meaningful when the world actually exercises the institutional channel.",result,artifact,none,none,none,"outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0008,Abstract,"Three additional environments extend the suite: Auction House provides a benchmarked auction-design testbed, Public Goods exposes common-pool extraction and contribution incentives, and Labor Market tests learned reporting under deferred acceptance.",theory,none,none,none,"samuelson1954, olson1965, hardin1968, ostrom1990, galeshapley1962, rothsotomayor1990","outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}, \citep{hardin1968}, \citep{ostrom1990}."
C0009,Abstract,"The current contribution is both empirical and methodological: it reports initial evidence that institutional robustness changes across learning architectures, and it documents the validation discipline needed to distinguish real economic findings from inactive-mechanism or short-horizon artifacts.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0010,Introduction,"Economic mechanisms are usually evaluated against a model of strategic behavior: equilibrium prices, truthful bidding, efficient allocation, or some other theoretical benchmark.",theory+result,none,none,none,vickrey1961,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0014,Introduction,The goal is to create environments that are simple enough to audit but rich enough to expose failures of institutional robustness.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
