world,institution,mind,closest_paper,theory_benchmark,their_metric,our_metric,gap
pricing_arena,none,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,none,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,none,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,none,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,none,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,price_cap,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,price_cap,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,price_cap,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,price_cap,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,price_cap,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,tax_high_price,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,tax_high_price,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,tax_high_price,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,tax_high_price,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,tax_high_price,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,random_audit,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,random_audit,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,random_audit,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,random_audit,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,random_audit,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,anti_collusion,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,anti_collusion,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,anti_collusion,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,anti_collusion,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,anti_collusion,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
